brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
BF SHOES,Tênis Para Academia Masculino Caminhada Esportivo Bf Shoes,89,90,78,21,4.6,(5)
OLYMPIKUS,Tenis Masculino Olympikus Volcan Ultra Leve Para Training,241,16,167,20,4.7,(269)
REEBOK,Tenis Reebok Nano Flex Tr V2 Masculino 100033531,599,44,58,12,,
PUMA,Puma St Runner V3 Masculino Adultos,437,49,328,11,4.9,(7)
OLYMPIKUS,Olympikus Corre 3 3 Sem gênero Adultos,499,99,50,,4.9,(248)
WM,Tenis Olimp Masculino Feminino Lançamento Muito Envio Rápido,109,99,36,66,3.6,(10)
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(609)
,Tenis Feminino E Masculino Casual Old Estilo Off Star Oferta,59,90,53,20,4.2,(143)
,Tenis Masculino Feminino Juvenil Academia Macio Confortável ,70,99,6,90,4.5,(520)
LYND,Tênis Esportivo Masculino Corrida Caminhada- Vent 424,199,90,149,92,4.4,(83)
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,67,06,4.2,(710)
ESTILO SHOES,Tenis Masculino Academia Caminhada Corrida Estilo Shoes,78,49,26,16,,
,Tenis Masculino Feminino Academia Leve Macio Confortável,68,99,6,71,4.5,(1587)
OLYMPIKUS,Olympikus Treino Volcan Masculino Adultos,164,99,16,04,4.7,(805)
,Tenis Olimp Masculino Academia Mega Fast Corrida Confortavel,119,90,88,35,4.2,(303)
POLO JOY,Tênis Polo Joy Casual Masculino Academia Macio Leve Original,78,90,7,67,4.8,(98)
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,99,48,47,5.0,(3)
NEW BALANCE,Tenis Masculino New Balance Bb80 Classico Macio - Original,409,40,347,99,,
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original,319,90,223,93,4.7,(371)
UNDER ARMOUR,Tênis Under Armour Essential 2 Original Academia Masculino,262,49,206,90,4.8,(189)
ADIDAS,adidas Runfalcon 3.0 Masculino Adultos,368,80,36,,4.7,(494)
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(609)
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,68,90,63,65,4.5,(222)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,149,90,114,71,4.4,(466)
OLYMPIKUS,Tênis Esportivo Masculino E Feminino Taurus Olympikus Novo,279,99,222,99,,
ADIDAS,adidas Runfalcon 3.0 Masculino Adultos,368,80,36,,4.7,(494)
OLIMPAK,Tênis Esportivo Masculino Olimpak Para Caminhada Academia,106,10,100,79,4.4,(3172)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,499,90,49,,4.8,(38)
,Tênis Masculino Esportivo Caminhada Academia Corrida,89,90,78,21,4.5,(490)
UNDER ARMOUR,Tênis Under Armour Charged Slight 2 Treino Caminhada Corrida,399,99,259,99,4.7,(16)
BF SHOES,Tênis Para Academia Masculino Caminhada Esportivo Bf Shoes,89,90,78,21,4.6,(5)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,61,93,4.3,(2205)
OLYMPIKUS,Tênis Masculino Olympikus Original Academia Preto Adulto ,212,49,159,60,4.7,(778)
,Tenis Masculino Confortavel Leve Academia Promoçao Original,99,90,79,92,4.5,(122)
OLYMPIKUS,Olympikus Asfalto Masculino Adultos,249,99,31,25,,
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(635)
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,194,80,18,93,4.7,(585)
